name,address,amenities1,amenities2,amenities3,amenities4,amenities5,amenities6,amenities7,amenities8,amenities9,amenities10,rooms1,rooms2,rooms3,rooms4,rooms5,rooms6,price,rating,numReviews,lat,lon
Orley House,"7 Dublin Road, Drogheda Ireland",5,22,3,4,32,33,58,13,,,201,,,,,, Available Upon Request,4,101 reviews,53.7110264,-6.3356949
Tulloch,"Knavinstown, Kildare Ireland",5,22,3,8,32,28,13,47,,,Unknown,,,,,, Available Upon Request,3.5,14 reviews,53.1735307,-6.9867029
Abhainn Ri,"Ballintober Hollywood, Blessington W91W2P1 Ireland",5,22,3,32,45,2,58,13,,,201,200,,,,,182,5,197 reviews,53.71667,-8.41667
Drumbarron House,"Drumbarron House The Diamond, Ardara Ireland",5,22,3,3,1,8,58,13,,,Unknown,,,,,, Available Upon Request,5,34 reviews,54.761797,-8.413363
Ard Aoibhinn Bed & Breakfast,Spiddal Ireland,5,22,3,3,13,47,,,,,Unknown,,,,,, Available Upon Request,4.5,30 reviews,53.8120301,-6.743311586
Loughrea BnB Lakeside,"Barrack Street, Loughrea Ireland",5,22,3,30,79,58,13,89,,,200,,,,,,70,5,2 reviews,53.1975883,-8.5696973
Keyfield House,"Keyfield Mullingar Lynn, Mullingar N91P7VO Ireland",5,22,3,21,8,2,13,47,,,Unknown,,,,,, Available Upon Request,5,7 reviews,53.520938,-7.337426
Donemark Rise B&B,"Dunamark Rise Droumacoppil, Bantry Ireland",5,22,3,23,14,8,13,89,,,201,,,,,, Available Upon Request,5,40 reviews,51.676542,-9.440919
Hill View Farm,"Drumsheel, Cong Ireland",5,22,3,23,8,35,13,89,,,201,200,,,,, Available Upon Request,4.5,47 reviews,53.5617365,-9.289901524
Athgarvan B&B,"1 Milford, Newbridge Ireland",5,22,3,23,8,2, Adults only,13,,,201,,,,,, Available Upon Request,4.5,31 reviews,53.180148,-6.799884
Riverwalk House,"Riverside, Oughterard Ireland",5,22,3,23,8,45,58,81,,,Unknown,,,,,, Available Upon Request,5,73 reviews,53.4284256,-9.3226023
Tudor Lodge,"Lisheen McCurtain Hill, Clonakilty Ireland",5,22,3,3,1,14,8,13,,,201,200,,,,, Available Upon Request,4,23 reviews,51.621724,-8.896393
OBriens Cashel Lodge,"Camus Road St. Patricks Rock, Cashel Ireland",5,22,3,3,14,32,79,13,,,201,200,,,,,95,5,216 reviews,52.511585,-7.889817
Lake Avenue House,"Lakeview House Port Bawnboy, Ballyconnell H14 WV34 Ireland",5,22,3,3,67,35,13, Outdoor fireplace,,,201,200,,,,,70,5,63 reviews,54.12139,-7.67556
Glendurragh House,"Millhouse Ballinagh Road, Cavan Ireland",5,22,3,3,2,52,13,54,,,201,204,200,,,, Available Upon Request,5,10 reviews,53.960495,-7.362192
Marlinstown Court,"Old Dublin Road, Mullingar Ireland",5,22,3,3,4,58,13,57,,,201,200,,,,, Available Upon Request,5,128 reviews,53.52577,-7.3297592
Red Setter Townhouse B&B,"Red Setter House 14 Dublin Street, Carlow Ireland",5,22,3,3,4,1,58,13,,,201,200,,,,, Available Upon Request,4.5,151 reviews,52.837557,-6.931448
Dunaree,"Low Road, Bunratty Ireland",5,22,3,3,4,73,81,13,,,201,200,,,,, Available Upon Request,5,297 reviews,52.698429,-8.8112956
Comeragh View Bed & Breakfast,"Ballyvoile - Stradbally, Dungarvan Ireland",5,22,3,3,4,2,58,13,,,Unknown,,,,,, Available Upon Request,5,60 reviews,52.090485,-7.627665
The Wild Atlantic Lodge,"Main Street Ballyvaughan, Co. Clare, Ballyvaughan H91 HD90 Ireland",5,22,3,3,4,43,32,2,,,Unknown,,,,,,100,4.5,407 reviews,52.867043,-8.755825
Newlands Lodge,"Kells Rd Newlands, Kilkenny Ireland",5,22,3,3,4,91,58,13,,,201,200,,,,, Available Upon Request,5,578 reviews,52.541013,-7.272461
Ashmore House B&B,"John St, Cashel ROI Ireland",5,22,3,3,4,13,47,92,,,201,200,,,,, Available Upon Request,4.5,155 reviews,52.515598,-7.886657
Dromid Hostel,"Cillin Liath Maistir Gaoithe, Waterville Ireland",5,22,3,3,36,32,79,58,,,200,,,,,,50,4.5,18 reviews,52.649909,-7.21104
Barrs B&B,"Carnagarve, Moville ROI Ireland",5,22,3,3,23,58,13,57,,,201,205,,,,, Available Upon Request,5,40 reviews,55.191281,-7.041766
Lough Owel Lodge,"Lough Owel Lodge Lough Owel Lodge Lough Owel Lodge Culleenmore, Mullingar 0000 Ireland",5,22,3,3,23,31,13,,,,201,200,,,,, Available Upon Request,5,110 reviews,53.53923,-7.344899
Oakdale Manor,"Convent Road, Claremorris Ireland",5,22,3,3,1,13,89,57,,,Unknown,,,,,, Available Upon Request,5,33 reviews,53.6234595,-9.2066896
Ashfield House,"Neale Road, Cong Ireland",5,22,3,4,32,33,58,81,,,201,200,,,,, Available Upon Request,5,83 reviews,53.616455,-9.223313
Nolans B&B,Kilkee Ireland,5,24,3,3,4,8,33,13,,,Unknown,,,,,, Available Upon Request,4.5,70 reviews,52.679167,-9.644167
Claremont House,"7 Claremont Villas Glenageary, Dun Laoghaire Ireland",5,24,3,3,35,58,13,,,,Unknown,,,,,,110,3.5,28 reviews,53.2830059,-6.1264028
Caseys Hotel,"The Village, Glengarriff Ireland",5,24,3,3,1,32,58,81,,,201,200,,,,,110,4.5,248 reviews,51.7501967,-9.5499762
Katie OConnors Holiday Hostel,"50 Frances Street, Kilrush Ireland",5,24,3,3,14,58,13,57,,,Unknown,,,,,, Available Upon Request,4,17 reviews,52.6369945,-9.4870069
Adare Country House,"Adare Village, Adare Ireland",5,24,3,3,4,58,13,47,,,201,200,,,,, Available Upon Request,5,491 reviews,52.5636631,-8.7923958
Adare Country House,"Adare Village, Adare Ireland",5,24,3,3,4,58,13,47,,,201,200,,,,, Available Upon Request,5,491 reviews,52.5636631,-8.7923958
Rivers Edge Bed & Breakfast,Glengarriff P75 VK83 Ireland,5,24,3,3,4, Complimentary instant cofffee,58,13,,,Mountain view,201,,,,,92,5,8 reviews,53.26195,-9.07891
Fernroyd House B&B,"Fernroyd 4 ODonovan Rossa Road, Cork Ireland",5,24,3,3,4,23,13,,,,201,200,,,,, Available Upon Request,5,"1,213 reviews",51.894663,-8.498308
Avonmore House,"Avonmore House South Abbey, Youghal P36 AT18 Ireland",5,24,3,3,23,12, Adults only,58,,,201,200,,,,, Available Upon Request,5,15 reviews,53.018835,-6.265913
